"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","20.68","44170936051.88","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACIU","AC Immune SA","14.15","783853994.3","n/a","Switzerland","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACN","Accenture plc","119.68","81056111030.4","n/a","Ireland","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ADAP","Adaptimmune Therapeutics plc","5.12","362420817.92","n/a","United Kingdom","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"AGRO","Adecoagro S.A.","10.76","1316830320","n/a","Luxembourg","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"AAAP","Advanced Accelerator Applications S.A.","35.95","1553955790.3","n/a","France","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ANW","Aegean Marine Petroleum Network Inc.","10.9","429501659.8","n/a","Greece","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","23.06","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.34","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.08","10714550397.12","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.11","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.21","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","45.17","8209359947.78","n/a","Netherlands","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"AFMD","Affimed N.V.","2.45","81485539.8","n/a","Germany","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AIXG","Aixtron SE","4.6924","523869286.8072","n/a","Germany","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"ALKS","Alkermes plc","59.18","8993613124.76","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"AWH","Allied World Assurance Company Holdings, AG","46.35","4032373105.35","n/a","Switzerland","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ASPS","Altisource Portfolio Solutions S.A.","27.94","527440535.16","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation plc","3.47","936736524.83","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"DOX","Amdocs Limited","58.67","8674476840","n/a","Guernsey","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMFW","Amec Plc Ord","5.31","2087529927.03","n/a","United Kingdom","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"BUD","Anheuser-Busch Inbev SA","103.33","199809384364.73","n/a","Belgium","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"MT","ArcelorMittal","7.06","21582420000","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"ASND","Ascendis Pharma A/S","20.4","512616136.8","n/a","Denmark","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd",
"ASML","ASML Holding N.V.","105.08","44538732997.76","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","27.34","69170200000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ABY","Atlantica Yield plc","18.02","1805915025.2","n/a","United Kingdom","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"TEAM","Atlassian Corporation Plc","27.93","6147882892.2","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team",
"EARS","Auris Medical Holding AG","1.2366","42452111.9664","n/a","Switzerland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears",
"ALV","Autoliv, Inc.","99.11","8743898182.47","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AV","Aviva plc","11.39","23110310000","n/a","United Kingdom","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV.CL","Aviva plc","n/a","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avv.cl",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.26","40567040610.5","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"SAN","Banco Santander, S.A.","4.52","65241680000","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","25.1799","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","23.31","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","25.06","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^c",
"SAN^I","Banco Santander, S.A.","24.9474","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^i",
"TAPR","Barclays Inverse US Treasury Composite ETN","26.4268","17446973.36","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BCS","Barclays PLC","10.52","44560090000","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BCS^A","Barclays PLC","25.59","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^a",
"BCS^D","Barclays PLC","25.85","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^d",
"DLBL","Barclays PLC","79.33","5628939.48","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbl",
"BBL","BHP Billiton plc","31.99","85132474985.25","n/a","United Kingdom","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BP","BP p.l.c.","34.4","108457027711.2","n/a","United Kingdom","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
